y_true,y_pred
46,0
59,38
67,11
0,24
86,26
36,36
3,12
49,23
64,64
80,5
42,44
20,55
48,48
84,77
65,16
91,69
94,13
98,36
48,77
62,62
6,15
59,77
56,52
37,21
23,11
97,64
12,69
51,38
76,1
66,66
19,8
38,69
11,11
26,26
23,67
28,64
82,82
56,52
63,55
81,43
88,43
93,83
29,41
16,16
71,60
73,73
16,16
76,7
23,17
99,49
5,63
79,11
21,21
1,43
64,64
34,34
69,69
15,15
37,0
10,10
4,43
25,11
29,27
0,0
78,16
45,11
0,82
4,4
8,8
19,63
20,22
90,11
13,13
51,3
42,77
95,43
26,26
21,36
83,70
34,36
32,34
43,77
60,60
42,36
74,26
78,64
28,46
24,26
0,30
80,43
39,12
98,98
51,34
59,77
55,66
9,9
68,13
90,44
2,77
27,4
79,79
38,64
7,36
56,77
54,77
27,27
92,70
53,13
88,43
68,55
30,26
75,5
93,64
84,55
19,52
96,22
35,94
85,38
87,23
67,36
77,77
11,64
40,61
92,70
78,55
52,52
41,23
89,60
2,2
30,83
91,91
86,69
10,10
41,41
16,16
14,49
33,11
44,44
46,46
57,57
86,83
20,11
43,69
94,94
21,34
57,1
8,67
3,55
65,64
40,46
62,34
24,34
24,24
17,17
2,77
39,34
18,21
31,11
25,34
14,85
7,8
46,46
2,44
38,34
7,67
60,60
36,36
5,34
89,70
22,80
77,77
58,60
72,95
18,70
72,13
14,0
61,55
76,34
25,11
9,9
28,28
8,8
63,63
82,82
60,58
32,32
12,12
85,64
61,62
31,22
49,49
88,95
17,13
80,13
99,67
50,3
11,55
5,44
3,83
44,36
96,73
35,36
52,52
12,12
67,44
15,15
47,47
36,36
95,11
65,55
13,13
53,27
69,43
3,2
57,53
71,71
30,26
4,4
55,55
70,82
18,44
70,70
2,6
81,73
22,46
1,11
43,38
15,15
75,69
97,28
50,67
17,17
47,47
66,77
13,13
6,6
74,24
73,73
96,96
27,63
26,24
83,21
31,34
1,70
1,49
22,11
48,48
87,16
68,13
6,64
45,85
10,8
9,34
54,26
58,58
33,33
71,34
29,26
